timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539805716936,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-30,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716972,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-31,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717004,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-32,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717038,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-33,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717073,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-34,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717104,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-35,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717137,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-36,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717175,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-37,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717203,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-38,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717239,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-39,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717275,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-40,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717308,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-41,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717338,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-42,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717375,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-43,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717408,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-44,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717442,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-45,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717477,4,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-46,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717508,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-47,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717543,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-48,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717577,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-49,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717609,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-50,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717643,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-51,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717676,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-52,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717709,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-53,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717744,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-54,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717775,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-55,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717807,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-56,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717844,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-57,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717874,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-58,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717909,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-59,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805717944,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-60,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805717978,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-61,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718009,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-62,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718044,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-63,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718079,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-64,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718112,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-65,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718144,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-66,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718180,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-67,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718212,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-68,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718248,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-69,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718278,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-70,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718313,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-71,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718344,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-72,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718378,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-73,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718413,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-74,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718444,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-75,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718478,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-76,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718515,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-77,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718548,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-78,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805718582,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-79,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718613,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-80,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805718649,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-81,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
