timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538115830349,208,HTTP Request,200,OK,Thread Group 1-10,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,208,0,149
1538115830447,228,HTTP Request,200,OK,Thread Group 1-11,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,228,0,160
1538115830551,206,HTTP Request,200,OK,Thread Group 1-12,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,148
1538115830647,208,HTTP Request,200,OK,Thread Group 1-13,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,208,0,144
1538115830849,290,HTTP Request,200,OK,Thread Group 1-15,text,true,,1014,133,4,4,https://sampleapp-eecs6432.mybluemix.net/,290,0,160
1538115830748,412,HTTP Request,200,OK,Thread Group 1-14,text,true,,1014,133,4,4,https://sampleapp-eecs6432.mybluemix.net/,412,0,144
1538115830947,225,HTTP Request,200,OK,Thread Group 1-16,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,225,0,160
1538115831048,206,HTTP Request,200,OK,Thread Group 1-17,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,148
1538115831151,219,HTTP Request,200,OK,Thread Group 1-18,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,219,0,155
1538115831247,212,HTTP Request,200,OK,Thread Group 1-19,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,212,0,148
1538115831349,226,HTTP Request,200,OK,Thread Group 1-20,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,226,0,160
1538115831448,219,HTTP Request,200,OK,Thread Group 1-21,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,219,0,160
1538115831548,219,HTTP Request,200,OK,Thread Group 1-22,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,219,0,159
1538115831649,216,HTTP Request,200,OK,Thread Group 1-23,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,216,0,155
